Unnamed: 0,#AUTHID,STATUS,cEXT,cNEU,cAGR,cCON,cOPN
0,b7b7764cfa1c523e4e93ab2a79a946c4,likes the sound of thunder . ,0,1,0,0,1
1,b7b7764cfa1c523e4e93ab2a79a946c4,is so sleepy its not even funny thats she cant get to sleep . ,0,1,0,0,1
2,b7b7764cfa1c523e4e93ab2a79a946c4,"is sore and wants the knot of muscles at the base of her neck to stop hurting . on the other hand , yay <allcaps> im in <allcaps> illinois <allcaps> ! <heart> ",0,1,0,0,1
3,b7b7764cfa1c523e4e93ab2a79a946c4,likes how the day sounds in this new song . ,0,1,0,0,1
4,b7b7764cfa1c523e4e93ab2a79a946c4,is home . <heart> ,0,1,0,0,1
6,b7b7764cfa1c523e4e93ab2a79a946c4,"saw a nun zombie , and liked it . also , <user> + tentacle ! man + psychic powers = great <allcaps> party . ",0,1,0,0,1
7,b7b7764cfa1c523e4e93ab2a79a946c4,is in kentucky . <number> miles into her <number> mile journey home . ,0,1,0,0,1
8,b7b7764cfa1c523e4e93ab2a79a946c4,was about to finish a digital painting before her tablet went haywire . is now contemplating the many ways she wishes to exact her revenge on faulty technology . ,0,1,0,0,1
9,b7b7764cfa1c523e4e93ab2a79a946c4,is celebrating her new haircut by listening to swinger music and generally looking like a doofus . ,0,1,0,0,1
10,b7b7764cfa1c523e4e93ab2a79a946c4,has a crush on the green lantern . ,0,1,0,0,1
11,b7b7764cfa1c523e4e93ab2a79a946c4,has magic on the brain . ,0,1,0,0,1
12,b7b7764cfa1c523e4e93ab2a79a946c4,"saw transformers , up , and year one this week . good movie overload . <smile> ",0,1,0,0,1
13,b7b7764cfa1c523e4e93ab2a79a946c4,who wants to meet up on schedule pick up day at oviedo ? ,0,1,0,0,1
14,b7b7764cfa1c523e4e93ab2a79a946c4,"desires the thrill of inspiration . also , money . ",0,1,0,0,1
15,b7b7764cfa1c523e4e93ab2a79a946c4,is going to bed at <number> <smile> <number> ! yeah ! ,0,1,0,0,1
16,b7b7764cfa1c523e4e93ab2a79a946c4,"is reading , admiring her permit , and occasionally glancing at her ner mcdonalds uniform . ",0,1,0,0,1
17,b7b7764cfa1c523e4e93ab2a79a946c4,thinks intangibility should be an option in reality settings . ,0,1,0,0,1
18,b7b7764cfa1c523e4e93ab2a79a946c4,"is tired . <user> , let me go to sleep plox . ",0,1,0,0,1
19,b7b7764cfa1c523e4e93ab2a79a946c4,is discovering the many flavors of insomnia . ,0,1,0,0,1
20,b7b7764cfa1c523e4e93ab2a79a946c4,"is watching cousin play computer game on televison box thing . also , sleepy . ",0,1,0,0,1
21,b7b7764cfa1c523e4e93ab2a79a946c4,why is it im only getting the urge to draw when i have stuff to do for school ? <smile> ,0,1,0,0,1
22,b7b7764cfa1c523e4e93ab2a79a946c4,whodat thought a single text message could be enough to change my mind ? ,0,1,0,0,1
23,b7b7764cfa1c523e4e93ab2a79a946c4,wishes to develop a super power that prevents her from needing to sleep . ,0,1,0,0,1
